Mes_Ano,Top_Termos
2022-05,"axios, milestone, heroku, paginação, webhook"
2022-06,"neovim, milestone, deno, afirma, prettier"
2022-07,"milestone, filipedeschamps, neovim, bun, dall"
2022-08,"dall, diffusion, stable, username, unity"
2022-09,"stable, diffusion, pixels, robô, dall"
2022-10,"diffusion, stable, intel, gif, dall"
2022-11,"crm, musk, zsh, grid, elon"
2022-12,"dart, theme, ajudá, bitcoin, powershell"
2023-01,"bitcoin, computer, dataframe, science, carros"
2023-02,"bitcoin, cadeia, ajudá, message, variedade"
2023-03,"sintomas, desconhecido, serverless, certificação, factory"
2023-04,"relacionais, space, head, desvantagens, canvas"
2023-05,"tor, graphql, zsh, obsidian, widgets"
2023-06,"descricao, axios, matriz, scrum, dockerfile"
2023-07,"stream, piloto, streams, yml, lambda"
2023-08,"certificação, exame, worker, cluster, indicadores"
2023-09,"principle, bun, setembro, webpack, debatido"
2023-10,"debatido, sintomas, patch, unity, swagger"
2023-11,"debatido, novembro, prisma, insight, neovim"
2023-12,"debatido, vitor, insight, pwa, map"
2024-01,"aventura, debatido, insight, vitor, capítulo"
2024-02,"zed, fevereiro, debatido, hub, elixir"
2024-03,"cluster, bun, lambda, debatido, termux"
2024-04,"debatido, abril, entidade, arch, tenant"
2024-05,"exame, maio, debatido, bateria, zsh"
2024-06,"debatido, wsl, junho, recomendeme, principle"
2024-07,"zed, lambda, debatido, delta, staging"
2024-08,"tintim, agosto, debatido, sort, drive"
2024-09,"description, join, numero, vpn, dataframe"
2024-10,"wsl, matriz, table, embeddings, estruturados"
2024-11,"tor, temperatura, stripe, personagens, window"
2024-12,"cobra, tintim, spam, eslint, fiscais"
2025-01,"udp, rebase, tabuleiro, visitantes, frame"
2025-02,"orquestrador, acoplamento, saga, deepseek, microserviços"
2025-03,"udp, mcp, embeddings, recomendeme, neural"
2025-04,"mcp, vibe, llm, llms, tls"
2025-05,"mcp, direita, head, make, agente"
2025-06,"unix, sort, terraform, mcp, gemini"
2025-07,"cultural, vírus, webpack, deno, heap"
2025-08,"capítulo, fowler, ddd, entidade, rebase"
2025-09,"mcp, agente, fowler, gemini, exe"
2025-10,"cron, llm, gemini, claude, llms"
2025-11,"gemini, claude, esp, llms, nuxt"
2025-12,"crom, soberania, vibe, godot, coding"
2026-01,"claude, crom, llm, agente, embeddings"
2026-02,"claude, crom, vibe, lovable, agente"
2026-03,"claude, agente, mcp, gemini, crom"
2026-04,"claude, mcp, agente, llm, anthropic"
2026-05,"claude, agente, mcp, llm, llms"
2026-06,"claude, agente, mcp, atacante, display"
